Bandit,Reward,Algorithm
3.0,6.39613776666231,ThompsonSampling
3.0,5.203077349472533,ThompsonSampling
3.0,3.5444848901924613,ThompsonSampling
3.0,3.320861306885781,ThompsonSampling
3.0,3.781865817385245,ThompsonSampling
3.0,2.852801309241937,ThompsonSampling
3.0,3.867784658592902,ThompsonSampling
3.0,4.0321156943906,ThompsonSampling
3.0,5.378211790787476,ThompsonSampling
3.0,5.204282612077624,ThompsonSampling
3.0,4.713831512100509,ThompsonSampling
3.0,3.3683978566733015,ThompsonSampling
3.0,2.6998128372888344,ThompsonSampling
3.0,3.4975316628428144,ThompsonSampling
3.0,4.281644450349577,ThompsonSampling
3.0,5.050196797209854,ThompsonSampling
3.0,3.0445352542718034,ThompsonSampling
3.0,3.7075549765094102,ThompsonSampling
3.0,4.02544823007531,ThompsonSampling
3.0,3.7974783925074034,ThompsonSampling
3.0,5.119430233082946,ThompsonSampling
3.0,4.63823118509994,ThompsonSampling
3.0,2.3446328119014113,ThompsonSampling
3.0,4.834434201656565,ThompsonSampling
3.0,5.341405691341063,ThompsonSampling
3.0,2.2175399145975057,ThompsonSampling
3.0,5.029553404375909,ThompsonSampling
3.0,3.1156707436207376,ThompsonSampling
3.0,5.191669196562865,ThompsonSampling
3.0,4.304939318674826,ThompsonSampling
3.0,4.013613867005138,ThompsonSampling
3.0,3.632581772357903,ThompsonSampling
3.0,4.4140053167701385,ThompsonSampling
3.0,3.065891469799827,ThompsonSampling
3.0,4.173480474179811,ThompsonSampling
3.0,4.7504874192186435,ThompsonSampling
3.0,3.7163629863107466,ThompsonSampling
3.0,4.036411770249663,ThompsonSampling
3.0,3.9387642574869433,ThompsonSampling
3.0,4.87291701465392,ThompsonSampling
3.0,3.081505445538198,ThompsonSampling
3.0,2.353295414589085,ThompsonSampling
3.0,4.626151212656106,ThompsonSampling
3.0,2.89245415505314,ThompsonSampling
3.0,4.233697629503669,ThompsonSampling
3.0,2.0178489536841324,ThompsonSampling
3.0,3.540494965202508,ThompsonSampling
3.0,5.078001923184862,ThompsonSampling
3.0,5.164466485878821,ThompsonSampling
3.0,4.306119086805702,ThompsonSampling
3.0,2.3681460324978483,ThompsonSampling
3.0,1.8161292052805504,ThompsonSampling
3.0,4.356223300579445,ThompsonSampling
3.0,4.7606931060162925,ThompsonSampling
3.0,5.57175336980091,ThompsonSampling
3.0,5.036216520114281,ThompsonSampling
3.0,6.148933735173706,ThompsonSampling
3.0,3.575242258657381,ThompsonSampling
3.0,4.455133890109052,ThompsonSampling
3.0,1.9372523398751054,ThompsonSampling
3.0,4.4073222633309035,ThompsonSampling
3.0,3.9860914913272296,ThompsonSampling
3.0,3.3183130871795585,ThompsonSampling
3.0,2.935825152898472,ThompsonSampling
3.0,4.919293828359684,ThompsonSampling
3.0,5.698117067003102,ThompsonSampling
3.0,4.632722085388114,ThompsonSampling
3.0,4.002164820552707,ThompsonSampling
3.0,3.821209655150887,ThompsonSampling
3.0,3.6618659573145256,ThompsonSampling
3.0,4.168193614695153,ThompsonSampling
3.0,3.0015168337145486,ThompsonSampling
3.0,2.3130639561184454,ThompsonSampling
3.0,2.0623884089878226,ThompsonSampling
3.0,4.482706955444335,ThompsonSampling
3.0,4.6515802989489865,ThompsonSampling
3.0,3.1499053879242505,ThompsonSampling
3.0,4.2224040027681395,ThompsonSampling
3.0,2.7852730456667265,ThompsonSampling
3.0,3.7986840594989575,ThompsonSampling
3.0,5.193951355807014,ThompsonSampling
3.0,4.110573876369764,ThompsonSampling
3.0,5.404986393596191,ThompsonSampling
3.0,3.031089515586731,ThompsonSampling
3.0,1.4053887684913065,ThompsonSampling
3.0,3.320235241304116,ThompsonSampling
3.0,5.325498425634076,ThompsonSampling
3.0,4.945671605862495,ThompsonSampling
3.0,3.0981051451034216,ThompsonSampling
3.0,3.1169511795867435,ThompsonSampling
3.0,2.134776579287288,ThompsonSampling
3.0,5.8082291252555995,ThompsonSampling
3.0,4.386951184816783,ThompsonSampling
3.0,4.044275877085532,ThompsonSampling
3.0,4.850436413375145,ThompsonSampling
3.0,3.6864635269246175,ThompsonSampling
3.0,2.45166011286878,ThompsonSampling
3.0,3.1242418032998693,ThompsonSampling
3.0,3.4776864813757618,ThompsonSampling
3.0,3.963703038267906,ThompsonSampling
3.0,3.6869944221171504,ThompsonSampling
3.0,3.559925211860213,ThompsonSampling
3.0,4.549815616087863,ThompsonSampling
3.0,4.392336997288217,ThompsonSampling
3.0,4.437185603937667,ThompsonSampling
3.0,5.728620608050642,ThompsonSampling
3.0,5.201188848117633,ThompsonSampling
3.0,4.0779447177605554,ThompsonSampling
3.0,4.660964643980843,ThompsonSampling
3.0,2.327428774643514,ThompsonSampling
3.0,6.18166381591354,ThompsonSampling
3.0,4.925143794932919,ThompsonSampling
3.0,5.747637190643817,ThompsonSampling
3.0,3.947857771832029,ThompsonSampling
3.0,3.536978425682714,ThompsonSampling
3.0,4.311376307559571,ThompsonSampling
3.0,4.113245276431752,ThompsonSampling
3.0,3.2551857495984096,ThompsonSampling
3.0,2.570369558301701,ThompsonSampling
3.0,5.259855176843397,ThompsonSampling
3.0,2.579111198472284,ThompsonSampling
3.0,4.492662339387403,ThompsonSampling
3.0,3.2304306572948778,ThompsonSampling
3.0,4.544698476598917,ThompsonSampling
3.0,4.428451119711805,ThompsonSampling
3.0,4.284007495152207,ThompsonSampling
3.0,5.208452048377639,ThompsonSampling
3.0,3.3490942487694646,ThompsonSampling
3.0,3.485658587649292,ThompsonSampling
3.0,3.5877013370672803,ThompsonSampling
3.0,6.313137216476418,ThompsonSampling
3.0,2.6942051776962908,ThompsonSampling
3.0,4.780532577531447,ThompsonSampling
3.0,2.0944749091476274,ThompsonSampling
3.0,4.383226326289212,ThompsonSampling
3.0,2.3851223312618695,ThompsonSampling
3.0,4.79633157109898,ThompsonSampling
3.0,2.5890899272441166,ThompsonSampling
3.0,6.258858757242617,ThompsonSampling
3.0,5.336708189838832,ThompsonSampling
3.0,5.2321497267601185,ThompsonSampling
3.0,6.087017724216928,ThompsonSampling
3.0,3.3790185462432563,ThompsonSampling
3.0,3.6972343720225087,ThompsonSampling
3.0,3.448930188340895,ThompsonSampling
3.0,3.692998730320809,ThompsonSampling
3.0,3.9441454489156866,ThompsonSampling
3.0,4.3313305053334465,ThompsonSampling
3.0,2.8034900248664387,ThompsonSampling
3.0,4.546007789248865,ThompsonSampling
3.0,5.792943467418125,ThompsonSampling
3.0,3.954475324285582,ThompsonSampling
3.0,3.834347701395411,ThompsonSampling
3.0,5.37422275194172,ThompsonSampling
3.0,4.0651015589770925,ThompsonSampling
3.0,4.063636536421242,ThompsonSampling
3.0,4.593407134301185,ThompsonSampling
3.0,2.650609817567597,ThompsonSampling
3.0,4.434846181859297,ThompsonSampling
3.0,3.2792303561810954,ThompsonSampling
3.0,6.024671074991533,ThompsonSampling
3.0,5.339022794460799,ThompsonSampling
3.0,2.8704802793718884,ThompsonSampling
3.0,3.203535104406714,ThompsonSampling
3.0,4.36315743584891,ThompsonSampling
3.0,4.044402017839207,ThompsonSampling
3.0,2.852707415924682,ThompsonSampling
3.0,3.159775303527408,ThompsonSampling
3.0,4.138794205728329,ThompsonSampling
3.0,5.799515875427639,ThompsonSampling
3.0,4.105180143939565,ThompsonSampling
3.0,4.607637512849562,ThompsonSampling
3.0,5.071496147090535,ThompsonSampling
3.0,2.647923672637946,ThompsonSampling
3.0,3.591097331663148,ThompsonSampling
3.0,1.9703104149975097,ThompsonSampling
3.0,5.200150053499128,ThompsonSampling
3.0,4.934357648242278,ThompsonSampling
3.0,4.342435321615576,ThompsonSampling
3.0,4.713090764977196,ThompsonSampling
3.0,4.00275795307783,ThompsonSampling
3.0,1.839848450515698,ThompsonSampling
3.0,5.531584833134888,ThompsonSampling
3.0,3.408788849773435,ThompsonSampling
3.0,2.478646796750631,ThompsonSampling
3.0,3.990235802430519,ThompsonSampling
3.0,5.506217109807755,ThompsonSampling
3.0,4.594062948074818,ThompsonSampling
3.0,6.052244473125115,ThompsonSampling
3.0,3.265898416693642,ThompsonSampling
3.0,3.9868622079212543,ThompsonSampling
3.0,4.778004482511594,ThompsonSampling
3.0,3.7060289167025946,ThompsonSampling
3.0,3.223416161175218,ThompsonSampling
3.0,2.69351485548468,ThompsonSampling
3.0,3.9881042279931247,ThompsonSampling
3.0,2.542754293304964,ThompsonSampling
3.0,4.992897497594857,ThompsonSampling
3.0,3.2782181879593173,ThompsonSampling
3.0,4.078457772155215,ThompsonSampling
3.0,1.4325094492055301,ThompsonSampling
3.0,3.487029108231899,ThompsonSampling
3.0,3.519732132714207,ThompsonSampling
3.0,5.65865728347831,ThompsonSampling
3.0,3.3375099385923632,ThompsonSampling
3.0,2.4868148954198057,ThompsonSampling
3.0,4.599105829607374,ThompsonSampling
3.0,3.190608190105617,ThompsonSampling
3.0,2.964876243937814,ThompsonSampling
3.0,3.5895464599075306,ThompsonSampling
3.0,2.327402029159673,ThompsonSampling
3.0,4.066814964026114,ThompsonSampling
3.0,3.943631180230776,ThompsonSampling
3.0,4.711575160070468,ThompsonSampling
